episode,total_reward,renewable_ratio,total_cost,blackout_energy,epsilon,loss_mean,eval_reward
246,-9.8409,0.7204,14.0795,2.4942,0.2914,1.094655,
247,-48.5631,0.743,8.9719,12.967,0.2899,1.04528,
248,-32.2727,0.7129,13.2046,7.2675,0.2885,1.176104,
249,-107.4654,0.6845,6.0575,24.728,0.287,1.055585,
250,-19.318,0.7155,10.7311,6.6161,0.2856,1.154453,5.3914
251,-65.3761,0.6933,7.4279,14.4756,0.2842,1.105247,
252,-45.9565,0.7007,10.4258,10.9499,0.2828,1.013946,
253,-78.8399,0.7097,8.3004,17.5601,0.2813,1.102069,
254,-52.351,0.6911,9.6788,12.621,0.2799,1.16582,
255,-52.4422,0.7318,7.5201,12.2578,0.2785,1.033222,
256,-9.4768,0.7181,13.6904,2.3625,0.2771,1.066873,
257,-46.2822,0.716,10.9956,9.7645,0.2758,0.992943,
258,-70.8565,0.7363,7.2389,16.8328,0.2744,1.149408,
259,5.1012,0.7018,14.8963,0.0,0.273,1.096279,
260,-3.4115,0.7111,14.6054,2.0352,0.2716,1.170824,
261,-105.7423,0.7017,6.3933,23.1205,0.2703,0.950375,
262,-9.4591,0.6863,12.841,2.9973,0.2689,1.174924,
263,-6.1498,0.7428,10.3354,2.941,0.2676,1.042655,
264,4.4186,0.7016,14.9121,0.5825,0.2663,1.127116,
265,-46.2075,0.6988,9.9619,11.0408,0.2649,1.050284,
266,-11.8141,0.7242,12.9628,3.0955,0.2636,1.008384,
267,-70.9563,0.6914,8.193,16.5936,0.2623,1.021028,
268,-21.5596,0.7117,11.6382,5.3822,0.261,0.990025,
269,-6.3136,0.7042,12.2386,1.4924,0.2597,0.999285,
270,-37.0507,0.7287,11.0009,9.3757,0.2584,1.211743,
271,-5.823,0.7169,12.9885,3.1707,0.2571,0.956637,
272,11.0533,0.7427,12.7557,0.0,0.2558,1.162565,
273,-13.0387,0.7125,9.6417,5.0179,0.2545,1.054999,
274,-115.7884,0.7027,7.299,25.7377,0.2532,1.030742,
275,-58.1237,0.6926,11.5125,12.8642,0.252,0.984934,9.0336
276,-10.4885,0.7105,12.7128,3.4694,0.2507,1.074374,
277,-41.6941,0.7368,8.9934,10.2517,0.2495,0.956978,
278,7.1028,0.75,13.7822,0.0,0.2482,0.920471,
279,-17.4558,0.7231,12.1381,4.9201,0.247,1.054039,
280,4.2737,0.741,13.3148,0.7537,0.2457,0.984677,
281,-48.3796,0.7303,9.9417,11.6576,0.2445,1.102793,
282,-110.5049,0.7716,4.0734,26.7114,0.2433,1.003067,
283,-26.2094,0.691,12.8246,6.7989,0.2421,1.066674,
284,5.239,0.69,13.4799,0.0,0.2409,1.097805,
285,-19.6805,0.7325,10.2918,5.411,0.2397,1.042672,
286,-30.7987,0.7384,11.1424,8.0835,0.2385,0.990137,
287,-22.1055,0.698,13.2873,4.6369,0.2373,1.095411,
288,-15.7261,0.6863,14.6861,3.8031,0.2361,0.978294,
289,-74.105,0.7106,6.4654,16.4175,0.2349,0.967179,
290,-63.2561,0.6936,11.4675,13.4093,0.2337,0.997581,
291,9.3943,0.7194,13.3722,0.0,0.2326,1.04788,
292,3.0659,0.7514,12.7905,0.0955,0.2314,0.903868,
293,-2.6909,0.7123,14.9053,2.001,0.2302,1.127323,
294,-0.8934,0.722,14.4804,0.2573,0.2291,1.030974,
295,-32.3721,0.7165,12.5293,7.4195,0.2279,0.999368,
296,2.2228,0.7038,14.9291,1.048,0.2268,0.948086,
297,-18.3162,0.7094,11.7775,5.0023,0.2257,0.987236,
298,10.0416,0.7647,12.1247,0.3794,0.2245,0.927424,
299,-40.2456,0.748,8.1464,10.8047,0.2234,1.077557,
300,-29.4824,0.7125,12.6244,7.8656,0.2223,0.949186,9.6604
301,-36.4511,0.6987,12.7708,9.2847,0.2212,1.002289,
